abbreviation,fullName,chargedFormula,charge,avgmolweight,monoisotopicweight,keggId,pubChemId,cheBlId,hmdb,pdmapName,reconMap,reconMap3,food_db,chemspider,biocyc,biggId,wikipedia,drugbank,seed,metanetx,knapsack,metlin,casRegistry,epa_id,inchiKey,inchiString,smile,Compound_ID,Pathway_ID,Pathway_Name
10fthf,10-Formyltetrahydrofolate,C20H21N7O7,-2,473.4393,473.1658961,C00234,122347,15637,HMDB0000972,,10fthf,10fthf,FDB022345,109092,10-FORMYL-THF,10fthf,10-formyl-tetrahydrofolate,,cpd00201,MNXM237,,5912,2800-34-2,,AUFGTPPARQZWDO-YUZLPWPTSA-L,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11?,13-/m0/s1",[H]OC1=NC(=NC2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H])N([H])[H],cpd:C00234,path:map01200,Carbon metabolism
10fthf,10-Formyltetrahydrofolate,C20H21N7O7,-2,473.4393,473.1658961,C00234,122347,15637,HMDB0000972,,10fthf,10fthf,FDB022345,109092,10-FORMYL-THF,10fthf,10-formyl-tetrahydrofolate,,cpd00201,MNXM237,,5912,2800-34-2,,AUFGTPPARQZWDO-YUZLPWPTSA-L,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11?,13-/m0/s1",[H]OC1=NC(=NC2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H])N([H])[H],cpd:C00234,path:map00720,Other carbon fixation pathways
10fthf,10-Formyltetrahydrofolate,C20H21N7O7,-2,473.4393,473.1658961,C00234,122347,15637,HMDB0000972,,10fthf,10fthf,FDB022345,109092,10-FORMYL-THF,10fthf,10-formyl-tetrahydrofolate,,cpd00201,MNXM237,,5912,2800-34-2,,AUFGTPPARQZWDO-YUZLPWPTSA-L,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11?,13-/m0/s1",[H]OC1=NC(=NC2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H])N([H])[H],cpd:C00234,path:map01523,Antifolate resistance
10fthf,10-Formyltetrahydrofolate,C20H21N7O7,-2,473.4393,473.1658961,C00234,122347,15637,HMDB0000972,,10fthf,10fthf,FDB022345,109092,10-FORMYL-THF,10fthf,10-formyl-tetrahydrofolate,,cpd00201,MNXM237,,5912,2800-34-2,,AUFGTPPARQZWDO-YUZLPWPTSA-L,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11?,13-/m0/s1",[H]OC1=NC(=NC2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H])N([H])[H],cpd:C00234,path:map01120,Microbial metabolism in diverse environments
10fthf,10-Formyltetrahydrofolate,C20H21N7O7,-2,473.4393,473.1658961,C00234,122347,15637,HMDB0000972,,10fthf,10fthf,FDB022345,109092,10-FORMYL-THF,10fthf,10-formyl-tetrahydrofolate,,cpd00201,MNXM237,,5912,2800-34-2,,AUFGTPPARQZWDO-YUZLPWPTSA-L,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11?,13-/m0/s1",[H]OC1=NC(=NC2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H])N([H])[H],cpd:C00234,path:map00970,Aminoacyl-tRNA biosynthesis
10fthf,10-Formyltetrahydrofolate,C20H21N7O7,-2,473.4393,473.1658961,C00234,122347,15637,HMDB0000972,,10fthf,10fthf,FDB022345,109092,10-FORMYL-THF,10fthf,10-formyl-tetrahydrofolate,,cpd00201,MNXM237,,5912,2800-34-2,,AUFGTPPARQZWDO-YUZLPWPTSA-L,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11?,13-/m0/s1",[H]OC1=NC(=NC2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H])N([H])[H],cpd:C00234,path:map01100,Metabolic pathways
10fthf,10-Formyltetrahydrofolate,C20H21N7O7,-2,473.4393,473.1658961,C00234,122347,15637,HMDB0000972,,10fthf,10fthf,FDB022345,109092,10-FORMYL-THF,10fthf,10-formyl-tetrahydrofolate,,cpd00201,MNXM237,,5912,2800-34-2,,AUFGTPPARQZWDO-YUZLPWPTSA-L,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11?,13-/m0/s1",[H]OC1=NC(=NC2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H])N([H])[H],cpd:C00234,path:map00670,One carbon pool by folate
10fthf,10-Formyltetrahydrofolate,C20H21N7O7,-2,473.4393,473.1658961,C00234,122347,15637,HMDB0000972,,10fthf,10fthf,FDB022345,109092,10-FORMYL-THF,10fthf,10-formyl-tetrahydrofolate,,cpd00201,MNXM237,,5912,2800-34-2,,AUFGTPPARQZWDO-YUZLPWPTSA-L,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11?,13-/m0/s1",[H]OC1=NC(=NC2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H])N([H])[H],cpd:C00234,path:map01240,Biosynthesis of cofactors
10fthf5glu,10-Formyltetrahydrofolate-[Glu](5),C40H45N11O19,-6,0,0,,,,,,10fthf5glu,10fthf5glu,,,,10fthf5glu,,,,MNXM3428,,,,,RGSLBOWMZCMTRA-UHFFFAOYSA-H,"InChI=1S/C40H51N11O19/c41-40-49-32-31(37(66)50-40)43-19(15-42-32)16-51(17-52)20-3-1-18(2-4-20)33(62)47-24(38(67)68)5-10-26(53)44-21(6-11-27(54)55)34(63)45-22(7-12-28(56)57)35(64)46-23(8-13-29(58)59)36(65)48-25(39(69)70)9-14-30(60)61/h1-4,17,19,21-25,43H,5-16H2,(H,44,53)(H,45,63)(H,46,64)(H,47,62)(H,48,65)(H,54,55)(H,56,57)(H,58,59)(H,60,61)(H,67,68)(H,69,70)(H4,41,42,49,50,66)/p-6",[H]OC1=NC(=N[H])N([H])C2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])C([H])(C([O-])=O)C([H])([H])C([H])([H])C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H],,,
10m3hddcaACP,10-methyl-3-hydroxy-dodecanoyl-ACP,C24H45N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11509,,,,,,,,,,,
10m3hundecACP,10-methyl-3-hydroxy-undecanoyl-ACP,C23H43N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11559,,,,,,,,,,,
10m3oddcaACP,10-methyl-3-oxo-dodecanoyl-ACP,C24H43N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11508,,,,,,,,,,,
10m3oundecACP,10-methyl-3-oxo-undecanoyl-ACP,C23H41N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11558,,,,,,,,,,,
10mddcaACP,10-methyl-dodecanoyl-ACP,C24H45N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11511,,,,,,,,,,,
10mtddec2eACP,10-methyl-trans-dodec-2-enoyl-ACP,C24H43N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11510,,,,,,,,,,,
10mtundec2eACP,10-methyl-trans-undec-2-enoyl-ACP,C23H41N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11560,,,,,,,,,,,
10mundecACP,10-methyl-undecanoyl-ACP,C23H43N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11561,,,,,,,,,,,
11m3hddcaACP,11-methyl-3-hydroxy-dodecanoyl-ACP,C24H45N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11534,,,,,,,,,,,
11m3oddcaACP,11-methyl-3-oxo-dodecanoyl-ACP,C24H43N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11533,,,,,,,,,,,
11mddcaACP,11-methyl-dodecanoyl-ACP,C24H45N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11536,,,,,,,,,,,
11mtddec2eACP,11-methyl-trans-dodec-2-enoyl-ACP,C24H43N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11535,,,,,,,,,,,
12m3hmyrsACP,12-methyl-3-hydroxy-tetra-decanoyl-ACP,C26H49N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11513,,,,,,,,,,,
12m3htridecACP,12-methyl-3-hydroxy-tridecanoyl-ACP,C25H47N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11563,,,,,,,,,,,
12m3omyrsACP,12-methyl-3-oxo-tetra-decanoyl-ACP,C26H47N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11512,,,,,,,,,,,
12m3otridecACP,12-methyl-3-oxo-tridecanoyl-ACP,C25H45N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11562,,,,,,,,,,,
12mmyrsACP,12-methyl-tetra-decanoyl-ACP,C26H49N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11515,,,,,,,,,,,
12mtmrs2eACP,12-methyl-trans-tetra-dec-2-enoyl-ACP,C26H47N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11514,,,,,,,,,,,
12mtridecACP,12-methyl-tridecanoyl-ACP,C25H47N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11565,,,,,,,,,,,
12mttritec2eACP,12-methyl-trans-tridec-2-enoyl-ACP,C25H45N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11564,,,,,,,,,,,
12ppd_S,"(S)-Propane-1,2-diol",C3H8O2,0,76.0944,76.0524295,C02917,439846,29002,HMDB0006213,,12ppd_S,12ppd_S,FDB023838,388890,--TRANS-ACENAPHTHENE-12-DIOL,12ppd__S,"1,2-propanediol",,cpd00453,MNXM1255,,3220,4254-15-3,,DNIAPMSPPWPWGF-VKHMYHEASA-N,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m0/s1",[H]OC([H])([H])[C@@]([H])(O[H])C([H])([H])[H],,,
13dpg,"Glyceric acid 1,3-biphosphate",C3H4O10P2,-4,266.0371,265.9592695,C00236,683,,HMDB0001270,3-phospho-D-glyceroyl dihydrogen phosphate;D-glyceraldehyde 3-phosphate,13dpg,13dpg,FDB022524,663,DPG,13dpg,"1,3-Biphosphoglycerate",,cpd00203,MNXM261,,,1981-49-3,,LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1",[H]O[C@@]([H])(C(=O)OP([O-])([O-])=O)C([H])([H])OP([O-])([O-])=O,cpd:C00236,path:map01200,Carbon metabolism
13dpg,"Glyceric acid 1,3-biphosphate",C3H4O10P2,-4,266.0371,265.9592695,C00236,683,,HMDB0001270,3-phospho-D-glyceroyl dihydrogen phosphate;D-glyceraldehyde 3-phosphate,13dpg,13dpg,FDB022524,663,DPG,13dpg,"1,3-Biphosphoglycerate",,cpd00203,MNXM261,,,1981-49-3,,LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1",[H]O[C@@]([H])(C(=O)OP([O-])([O-])=O)C([H])([H])OP([O-])([O-])=O,cpd:C00236,path:map00010,Glycolysis / Gluconeogenesis
13dpg,"Glyceric acid 1,3-biphosphate",C3H4O10P2,-4,266.0371,265.9592695,C00236,683,,HMDB0001270,3-phospho-D-glyceroyl dihydrogen phosphate;D-glyceraldehyde 3-phosphate,13dpg,13dpg,FDB022524,663,DPG,13dpg,"1,3-Biphosphoglycerate",,cpd00203,MNXM261,,,1981-49-3,,LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1",[H]O[C@@]([H])(C(=O)OP([O-])([O-])=O)C([H])([H])OP([O-])([O-])=O,cpd:C00236,path:map00710,Carbon fixation by Calvin cycle
